,Id,MI1= CU5,MI2= CU0,MI3= CU4,MI4= CU2,MI5= CU1,MI6= CU3,MI7= CU6,MI8= CU7,Essay Version
0,T1_JN1_ROW17,1,1,0,0,1,1,0,0,O
1,T1_JN1_ROW19,1,1,0,1,1,1,1,1,O
2,T1_JN3_ROW24,0,1,0,1,1,1,1,0,O
3,T1_JN3_ROW8,1,1,1,1,1,1,1,0,O
4,T1_JN4_ROW8,1,1,0,1,1,1,1,0,O
5,T1_JN5_ROW4,1,1,1,1,1,1,1,1,O
6,T2_JF1_ROW2,0,0,0,0,1,0,0,0,O
7,T2_JF2_ROW3,1,1,1,0,1,1,0,0,O
8,T2_JF3_ROW9,1,1,0,1,1,1,1,0,O
9,T2_JF4_ROW8,0,1,0,0,1,1,0,0,O
10,T2_JF5_ROW6,1,1,1,1,1,1,0,0,O
11,T3_PN1_ROW4,1,1,0,1,1,1,1,1,O
12,T3_PN2_ROW9,1,1,0,1,1,1,0,0,O
13,T3_PN4_ROW6,1,1,0,0,0,1,0,1,O
14,T3_PN5_ROW16,1,1,1,0,0,1,0,0,O
15,T3_PN5_ROW7,1,1,1,0,1,1,0,1,O
16,essay1_energy.mass.3.190@test.com.txt,0,0,1,1,1,1,1,0,O
17,essay1_energy.mass.3.235@test.com.txt,1,0,1,1,1,1,1,1,O
18,essay_energy.mass.3.286@test.com.txt,1,1,0,1,1,1,0,1,O
19,essay_energy.mass.3.412@test.com.txt,1,1,0,1,1,0,1,1,O
20,essay_energy.mass.3.457@test.com.txt,1,1,1,0,1,1,1,1,O
21,essay_energy.mass.3.460@test.com.txt,0,1,0,1,1,1,1,1,O
22,essay_energy.mass.3.559@test.com.txt,1,1,1,0,1,1,1,1,O
23,essay_energy.mass.3.592@test.com.txt,0,1,0,1,1,1,1,0,O
24,essay_energy.mass.3.610@test.com.txt,0,1,0,0,1,1,1,0,O
25,essay_energy.mass.3.667@test.com.txt,1,1,0,1,1,0,0,1,O
26,essay_energy.mass.3.706@test.com.txt,1,1,1,1,1,1,1,1,O
27,essay_energy.mass.3.709@test.com.txt,1,1,1,1,1,1,1,0,O
28,essay_energy.mass.3.721@test.com.txt,1,1,0,1,1,1,0,1,O
29,essay_energy.mass.3.724@test.com.txt,1,1,1,1,1,1,1,0,O
30,essay_energy.mass.3.742@test.com.txt,1,1,1,1,1,1,1,0,O
31,essay_energy.mass.3.751@test.com.txt,1,1,1,1,1,1,1,0,O
32,essay_energy.mass.3.769@test.com.txt,0,1,1,1,1,1,1,0,O
33,essay_energy.mass.3.796@test.com.txt,1,1,1,1,1,1,1,0,O
34,essay_energy.mass.3.805@test.com.txt,1,0,1,1,1,1,1,0,O
35,essay_energy.mass.3.895@test.com.txt,1,1,0,1,1,1,1,1,O
36,essay_energy.mass.3.940@test.com.txt,1,1,1,1,1,1,0,0,O
37,essay_energy.mass.3.946@test.com.txt,1,1,1,1,1,1,1,0,O
38,essay_energy.mass.3.988@test.com.txt,1,1,1,0,1,1,1,1,O
